year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
долговой,3.089930942223873e-07,6.183655614222516e-07,6.182314109537401e-07,6.350464332172123e-07,6.150611397970351e-07,6.427544008147379e-07,3.9960139019967755e-07,4.787357852364948e-07,3.580842928840866e-07,3.5089814787170326e-07,5.045093871558493e-07,6.856511163277901e-07,7.312418688343314e-07,6.257741915760562e-07,8.928108172767679e-07,5.701417649106588e-07,8.341309012394049e-07,6.650342356806505e-07
долгострой,2.2732463023089622e-08,4.5018371253036094e-08,7.539407675949406e-08,9.291391478427613e-08,1.61492181405265e-07,1.9796173944541806e-07,1.0563029206878127e-07,9.032750369897258e-08,7.699423321128052e-08,5.569811989403206e-08,8.133446272040601e-08,7.367481202891213e-08,7.190729434114473e-08,7.644710819931788e-08,8.002515983207559e-08,5.101563615994564e-08,7.695587100897683e-08,6.921963802142272e-08
должник,6.356669928209158e-07,1.3590451999334618e-06,7.118787834770046e-07,6.697881644868175e-07,6.289695306804788e-07,5.392179218688398e-07,7.982062584233063e-07,8.61982471178635e-07,1.6730970173739479e-06,1.2921963161716121e-06,1.9767810499615734e-06,1.5174634881987004e-06,1.3916827583670965e-06,3.701132072819746e-06,8.38721462059766e-06,1.9929734662582632e-06,1.681530079622462e-06,2.6855466330744093e-06
должница,9.261373890012692e-09,1.4439854645331707e-08,1.6666058755276936e-08,1.8582783312126594e-08,1.0044968412614708e-08,2.48487523890617e-08,1.2954658679120712e-08,2.193668002803406e-08,1.466556831530852e-08,3.119094671433231e-08,2.239644558699183e-08,1.5447945145297126e-08,1.9912789639420225e-08,1.8565724957397833e-08,1.9283170615835843e-08,4.87731917075962e-08,2.6536508102026346e-08,2.6285938758974225e-08
домашнее насекомое,7.935535006886596e-10,0.0,0.0,0.0,7.288045167364032e-10,0.0,0.0,0.0,3.459007080763854e-09,0.0,1.1127092580665021e-09,2.243959906778059e-09,0.0,1.0310510223376923e-09,9.101578379855368e-10,5.274766734508773e-10,0.0,8.267830864383541e-10
домогательство,3.1993835136745474e-08,2.123508124896034e-08,1.9046924037979807e-08,2.5854307139638877e-08,5.563367011518494e-08,4.555604604661312e-08,3.388141323057425e-08,4.6454143642904455e-08,8.188276012788265e-08,8.577509902352176e-08,8.604950352264495e-08,5.5850261304613014e-08,6.526969542619554e-08,9.282862833970285e-08,1.0894991220311567e-07,1.0147066120680392e-07,6.545671737967496e-08,9.287698077287132e-08
домогаться,1.0945259987238387e-07,1.26561076285725e-07,1.8253302869197796e-07,1.4947021043099085e-07,2.1403509720130387e-07,1.9961831299042387e-07,2.2720477943494188e-07,3.290501808805857e-07,5.242940801508666e-07,4.1773589032345626e-07,3.5127058595207927e-07,2.899460298522172e-07,3.1528583122053533e-07,3.025121202426817e-07,2.506812109004386e-07,4.255040551015554e-07,3.034007534097327e-07,2.6373558625891746e-07
домушник,1.4313032536961146e-08,1.0192838573175322e-08,1.9840545206761817e-08,1.777483582543482e-08,4.558870259074865e-08,4.22428811930331e-08,3.9860488243448344e-08,4.0002181123099945e-08,3.788605340560025e-08,6.015396536440676e-08,3.182652719146972e-08,3.4460800435454075e-08,2.3231587320537983e-08,5.0236671711445524e-08,4.049465829325527e-08,8.857659850036725e-08,4.422751231913935e-08,3.855270946928613e-08
домушница,2.525829323474227e-09,8.494032144312769e-10,7.936218349158253e-10,0.0,0.0,0.0,3.9860488243448344e-09,2.580785807282382e-09,1.2221307299498108e-09,4.455849467177586e-09,2.3575206231640777e-09,0.0,1.10626607874309e-09,2.1842030406560298e-09,9.641585307917921e-10,5.045502682321512e-09,1.769100532733603e-09,3.5047917901209757e-09
доносительский,0.0,0.0,2.380865504747476e-09,2.423841349852296e-09,9.27227805647135e-09,3.313167074026069e-09,2.989536618258626e-09,0.0,6.110653760771356e-09,2.227924733588793e-09,1.1787603115820389e-09,1.1883034556348093e-09,2.21253215748618e-09,2.1842030406560298e-09,1.9283170615835843e-09,5.045502682321512e-09,4.422751498367461e-09,6.133385799245161e-09
доносительство,3.5361608752282336e-08,3.567493678247047e-08,4.2855578641365355e-08,7.917881816865702e-08,1.8467287077328365e-07,1.8470906582024327e-07,2.1923268889167957e-07,2.271091545935633e-07,2.639802403336944e-07,2.0719700444260525e-07,2.4753967409196775e-07,2.3647238833746087e-07,2.389534756730427e-07,2.5555175398039864e-07,2.3911132984721917e-07,1.7883503744542395e-07,1.9725470679077262e-07,2.1466850341766985e-07
допинг,8.419430486128476e-08,1.1976585767570214e-07,1.1666241306329539e-07,1.0503312353193905e-07,1.5840141998069157e-07,1.3335497328625934e-07,1.9232685133374616e-07,1.2903929302865436e-07,1.7109830707795481e-07,1.7377813321672875e-07,1.4380876223185624e-07,1.7705721688798803e-07,1.4270833048612985e-07,1.4961790384404594e-07,1.4173130580275028e-07,1.9453214861187007e-07,2.193684593976286e-07,2.7337375740899006e-07
допинговый,2.525829323474227e-09,5.096419286587661e-09,5.555352622366172e-09,1.8582783312126594e-08,5.408828940289823e-09,1.6565835370130344e-09,3.9860488243448344e-09,5.161571614564764e-09,7.33278415765426e-09,7.797736678583078e-09,7.072562091536838e-09,1.1883035000437303e-08,2.21253215748618e-09,8.736812162624119e-09,7.713268246334337e-09,5.045502682321512e-09,4.422751498367461e-09,7.0095835802419515e-09
дорожная пробка,1.5871070013773192e-09,8.005343055117464e-10,7.47048700677766e-10,0.0,2.1864134946980585e-09,0.0,1.877465738431283e-09,0.0,1.153002360254618e-09,0.0,0.0,0.0,5.224605637010882e-09,1.0310510223376923e-09,0.0,4.747290116569047e-09,1.6702635941001631e-09,3.3071323457534163e-09
дохлый,7.577487792786997e-08,7.729569517778145e-08,7.221958497893866e-08,1.0907285741268424e-07,9.813161483407384e-08,1.19274019994009e-07,1.2356751710740355e-07,1.4323360630896786e-07,1.4665569381122623e-07,1.3701736634175177e-07,1.1080346951075626e-07,1.0575900688536422e-07,1.261143296460432e-07,1.3760478623225936e-07,1.3016139632782142e-07,2.5115389234997565e-07,1.7602550883566437e-07,1.7699198906484526e-07
дразнить,4.6559452471228724e-07,5.121901267557405e-07,5.166477876628051e-07,6.738278557349986e-07,5.354740437724104e-07,6.965933607716579e-07,6.87593399106845e-07,7.097161187630263e-07,7.503882670789608e-07,8.59978968037467e-07,7.921269116195617e-07,6.915926178407972e-07,7.423045644827653e-07,7.841288720555895e-07,7.211905881376879e-07,1.0242370080959518e-06,7.014483571765595e-07,7.176060989877442e-07
драка,1.026328618536354e-06,1.1203628673683852e-06,1.0650404647094547e-06,1.208688900078414e-06,1.3977959270050633e-06,1.3484590226653381e-06,1.382162395202613e-06,1.3484606142810662e-06,1.5716601637905114e-06,1.7845677575678565e-06,1.4192273738444783e-06,1.6220342331507709e-06,1.4569524182661553e-06,1.5354947890955373e-06,1.4510585515381536e-06,2.2104907202447066e-06,1.5400020174638485e-06,1.7348719438814442e-06
драться,3.54710618921672e-06,3.0790865821472835e-06,3.214168373233406e-06,3.110596253463882e-06,3.190436473232694e-06,3.2270247629639925e-06,3.0951669032219797e-06,3.171785692757112e-06,4.05869604946929e-06,4.088241894351086e-06,3.753172904907842e-06,3.4948004667967325e-06,3.333179620312876e-06,3.5930140711570857e-06,3.3514149890834233e-06,5.613401754089864e-06,3.240992100472795e-06,3.5188108995498624e-06
драчун,1.052428828529628e-07,9.76813723241321e-08,1.0317084075950333e-07,1.0826491347870615e-07,1.128127209426566e-07,9.773842890581363e-08,8.370702175852784e-08,8.258514583303622e-08,1.429892932947041e-07,1.002566136776295e-07,9.901586395244522e-08,9.268767087178276e-08,1.1173287361998518e-07,1.0047334342289105e-07,7.713268246334337e-08,1.1828900170485213e-07,9.022412683634684e-08,7.973401494609789e-08
драчунья,8.419430486128476e-09,6.795225715450215e-09,2.380865504747476e-09,5.6556297423071555e-09,3.090759426171985e-09,1.6565835370130344e-09,6.97558544260346e-09,3.871178932968178e-09,4.888522919799243e-09,1.113962344589936e-08,7.072562091536838e-09,2.3766069112696186e-09,5.5313305047377526e-09,0.0,1.9283170615835843e-09,8.40917113720252e-09,2.6536508546115556e-09,6.133385799245161e-09
дрожать,8.158428386195737e-07,7.423784040838655e-07,7.840983471396612e-07,8.669272233419179e-07,9.635442665967275e-07,9.889803322948865e-07,1.043348333951144e-06,9.5876191608113e-07,1.0938069863186684e-06,1.1919397593374015e-06,1.0219852129011997e-06,1.0540251196289319e-06,8.684188514962443e-07,9.970887049348676e-07,9.950116464096936e-07,1.7300467334280256e-06,9.960035640688147e-07,9.27893609059538e-07
дрожь,2.9686912057513837e-06,2.7614098598860437e-06,2.9403688586171484e-06,2.986980462083011e-06,3.171891876263544e-06,3.4862800930568483e-06,3.3143996915896423e-06,3.2414670840807958e-06,3.5796208521787776e-06,3.568021384126041e-06,3.4514102935645496e-06,3.1466274776903447e-06,3.044444156330428e-06,3.175831125190598e-06,2.7941314328927547e-06,6.065815341571579e-06,3.187919219271862e-06,2.8467670745158102e-06
дрязги,1.9448884813755285e-07,2.3783289293533016e-07,2.388801760844217e-07,2.3592055242716015e-07,2.6116916274077084e-07,2.8658894279942615e-07,2.571001402884576e-07,3.277598068507359e-07,3.4830725326173706e-07,4.1773589032345626e-07,3.91348436323824e-07,3.232185292745271e-07,3.7281165532476734e-07,3.4291988981749455e-07,3.34562997750254e-07,4.0251899235954625e-07,3.25514491805734e-07,3.1893605978439155e-07
дублирование функций,2.618726568925922e-08,3.202137222046986e-08,2.83878502926882e-08,2.972043589011264e-08,3.862663788822829e-08,3.8260598245187794e-08,1.971339003148387e-08,2.6725913926384237e-08,2.5366052369690806e-08,2.0967211966649302e-08,3.004315018984016e-08,2.5805539038969982e-08,5.329097874096078e-08,6.598726542961231e-08,4.641804807192784e-08,2.7428786353311807e-08,3.25701385861521e-08,5.5394465903191303e-08
дурка,8.419430486128476e-09,5.945822501018938e-09,7.936218793247463e-09,5.6556297423071555e-09,1.3135727172652878e-08,6.626334148052138e-09,5.979073236517252e-09,1.548471573187271e-08,1.09991766805706e-08,2.8963022202788125e-08,5.893801446887892e-09,1.663624793479812e-08,3.540051451977888e-08,1.0921015203280149e-08,1.5426536492668674e-08,3.756096234042161e-08,7.076402130934412e-09,7.885781805327952e-09
дыра,9.396084692525619e-07,1.4856062762191868e-06,1.03805734852358e-06,1.1602120366660529e-06,1.4464753803622443e-06,1.4992081105447141e-06,1.5754858395666815e-06,1.7149321820397745e-06,1.9065239484916674e-06,1.807960870792158e-06,1.7292413758696057e-06,1.673131237112102e-06,1.5565163948849658e-06,1.7091389281631564e-06,1.6496752550665406e-06,2.4386595214309637e-06,1.7222193946508924e-06,1.6691570863258676e-06
дырявый,1.5070780534642836e-07,1.8941692303542368e-07,1.6666058400005568e-07,1.696688940455715e-07,2.0553549973101326e-07,2.3026511541957007e-07,2.3716989971944713e-07,1.9484933488911338e-07,2.077622269780477e-07,2.4841361323524325e-07,1.99210489881807e-07,1.8775195087528118e-07,2.1350935242026026e-07,1.7582834743734566e-07,1.7933348317455966e-07,2.9432098358483927e-07,1.8398645806882996e-07,2.1291610607931943e-07
егозить,3.3677722832692325e-09,3.3976128577251075e-09,3.968109396623731e-09,4.039735657102028e-09,1.85445561129427e-08,8.282917463020567e-09,8.968609854775877e-09,3.871178932968178e-09,4.888522919799243e-09,1.113962344589936e-08,1.1787603115820389e-09,7.129820733808856e-09,1.1062661009475505e-08,6.552609121968089e-09,2.8924755923753764e-09,1.0651616477730386e-08,1.1499153629301873e-08,1.7523958950604879e-09
едкий,6.474542146861495e-07,6.022268621563853e-07,5.761694410466589e-07,6.326225729935686e-07,6.158338123896101e-07,6.336431965792144e-07,5.430991336652369e-07,4.464759513211902e-07,5.768457072008459e-07,5.458415444081766e-07,5.316209126249305e-07,4.788863066096383e-07,5.110949246045493e-07,5.820901378683629e-07,4.791867809217365e-07,7.646739277333836e-07,4.6704255396434746e-07,5.187091574043734e-07
ересь,6.188281531649409e-07,8.094812642411853e-07,8.22192248506326e-07,1.0955762945741299e-06,1.2509848374975263e-06,1.3857321619070717e-06,1.6223218608502066e-06,2.009141780945356e-06,2.521255737519823e-06,2.8216666123626055e-06,2.1748128347098827e-06,2.3884899746917654e-06,2.3386464818031527e-06,2.2464528228738345e-06,2.1095788724778686e-06,2.2547790194948902e-06,2.0362347186164698e-06,2.0643224161176477e-06
жалить,7.324904771621732e-08,7.729569517778145e-08,6.110887795784947e-08,7.837086712925156e-08,7.649629907291455e-08,1.1016280865305816e-07,1.1360238971747094e-07,1.0065064515174527e-07,1.2587946685016504e-07,1.64866435170552e-07,1.3673619037035678e-07,1.2596017029409268e-07,1.4381458868228947e-07,1.2449957864646422e-07,1.234122919413494e-07,1.4912262713551172e-07,9.906963072126018e-08,1.0426755636672169e-07
жалоба,1.1349392252668622e-06,1.1883150818903232e-06,1.2610651083377888e-06,1.324225308962923e-06,1.713053393359587e-06,1.4304598607850494e-06,1.5485799167436198e-06,1.5613753703291877e-06,1.9896287994924933e-06,2.214557298430009e-06,2.160667690986884e-06,2.1484527223947225e-06,2.4371040581172565e-06,2.5336755697935587e-06,2.761350060609402e-06,2.348961743336986e-06,2.589078576420434e-06,3.583649686333956e-06
жаловаться,3.027627371920971e-06,3.2209370601776754e-06,3.5014595596294384e-06,3.885417754645459e-06,4.238203928252915e-06,4.227601039019646e-06,4.103637365915347e-06,3.957634817197686e-06,4.733312380267307e-06,4.702035312220687e-06,4.335480298323091e-06,4.067562713316875e-06,4.186110800219467e-06,3.897710485034622e-06,3.717795379998279e-06,5.51361290490604e-06,3.91236562791164e-06,3.869290139846271e-06
жара,3.4519666769483592e-06,3.512282319206861e-06,3.232421704524313e-06,3.7407951367640635e-06,3.710456667249673e-06,3.613836952354177e-06,3.5714997466129716e-06,3.5034167922276538e-06,4.256681222614134e-06,3.913349701178959e-06,3.689519871841185e-06,3.574416723495233e-06,3.7900676943536382e-06,3.7786712709930725e-06,3.3552717013662914e-06,5.514173608389683e-06,4.287415322323795e-06,4.168949999439064e-06
жарынь,3.9571325771703414e-08,2.463269410668545e-08,2.4602277548524398e-08,2.5046359652947103e-08,3.168028328559558e-08,2.4020462063845116e-08,3.8863976925540555e-08,2.4517465391227233e-08,3.5441789947299185e-08,2.8963022202788125e-08,1.5323884383633413e-08,1.901285529015695e-08,1.2168927199240898e-08,3.2763047386197286e-08,1.1569902369501506e-08,1.681834227440504e-08,1.4152804261868823e-08,5.257187574159161e-09
ждать исправления,0.0,1.6010686110234928e-09,7.47048700677766e-10,0.0,7.288045167364032e-10,0.0,0.0,1.2148142491952285e-09,0.0,0.0,0.0,2.243959906778059e-09,0.0,2.0621020446753846e-09,5.460947249957826e-09,1.5824299648414808e-09,8.351317970500816e-10,8.267830864383541e-10
железный занавес,1.5315582402308792e-07,1.0006678508034383e-07,1.0906911285246679e-07,1.0516462367604618e-07,2.2520059417274751e-07,3.34975453597508e-07,4.3651078840412083e-07,5.515256589205819e-07,4.4390591824594594e-07,4.4135981625004206e-07,5.886232088414545e-07,5.430383112070558e-07,5.266402354209276e-07,5.629538577522908e-07,5.579267394750786e-07,4.625970291272097e-07,5.712301458515867e-07,5.845356554345926e-07
желтуха,2.222729733603046e-07,2.5057394736904826e-07,2.4681639843038283e-07,1.737086279263167e-07,1.8467287077328365e-07,2.3523486447629693e-07,3.8764324017392937e-07,1.3420086020232702e-07,1.9065240053350863e-07,1.982853063964285e-07,1.0255214988319494e-07,1.0457070231950638e-07,9.735141759392718e-08,1.0484174595148943e-07,9.063090544714214e-08,2.5171451056849037e-07,9.818507606951243e-08,9.287698077287132e-08
желтушность,3.3677721944513905e-08,4.671717590554181e-08,4.0474713358662484e-08,1.6966888338743047e-08,1.6999177177012825e-08,3.313166985208227e-08,7.37419014740226e-08,9.032750547532942e-09,1.09991766805706e-08,1.4481511101394062e-08,7.072562091536838e-09,5.9415175002186515e-09,4.42506431497236e-09,4.3684060813120595e-09,1.9283170615835843e-09,4.989441393377092e-08,4.422751498367461e-09,1.2266771598490323e-08
желтушный,1.0945259809602703e-08,6.795225715450215e-09,1.4285193472574065e-08,2.1006623995845075e-08,8.499588588506413e-09,1.242437619453085e-08,1.395117088520692e-08,5.161571614564764e-09,8.554914998626373e-09,8.911698934355172e-09,7.072562091536838e-09,2.3766069112696186e-09,1.5487724880358655e-08,1.0921015203280149e-08,5.784951184750753e-09,1.681834227440504e-08,9.730053207590572e-09,7.885781805327952e-09
женоубийство,3.3677722832692325e-09,8.494032144312769e-10,7.936218349158253e-10,2.423841349852296e-09,6.954208764398118e-09,4.969750833083708e-09,4.982561030431043e-09,1.290392903641191e-09,4.888522919799243e-09,1.1139623667943965e-09,1.1787603115820389e-09,0.0,2.21253215748618e-09,2.1842030406560298e-09,0.0,6.166725352585445e-09,2.6536508546115556e-09,3.5047917901209757e-09
женоубийца,1.6838861416346163e-09,8.494032144312769e-10,7.936218349158253e-10,4.847682699704592e-09,0.0,1.6565835370130344e-09,2.989536618258626e-09,3.871178932968178e-09,1.2221307299498108e-09,5.56981172294968e-09,1.1787603115820389e-09,3.564910366904428e-09,1.10626607874309e-09,1.0921015203280149e-09,1.9283170615835843e-09,1.4015284932611394e-08,3.538201065467206e-09,4.380989793162371e-09
жертва,2.6698014607973164e-06,2.8505971840786515e-06,2.9371944947342854e-06,3.204318090865854e-06,3.8673128983646166e-06,4.423077825777e-06,5.066267931397306e-06,5.549979960051132e-06,6.213312644831603e-06,6.1746932260575704e-06,5.968063305772375e-06,5.727622465201421e-06,5.874273028894095e-06,5.753190635005012e-06,5.848585715284571e-06,7.210022886283696e-06,6.129048870207043e-06,5.998451342748012e-06
жидкий стул,3.253569502703613e-08,3.6824577165361916e-08,6.2752093299423e-08,3.0482500079642705e-08,3.133859394210958e-08,3.904142786836928e-08,2.7223252985209e-08,8.503699966411205e-09,3.113106217256245e-08,1.1531966492839274e-08,7.78896502851012e-09,3.365939971189391e-09,7.31444815826876e-09,1.2372612268052308e-08,1.456252540776859e-08,5.907738653831984e-08,1.3362108752801305e-08,1.9842794074520498e-08
жучить,1.8522747780025384e-08,1.613866018601584e-08,1.3491571415613635e-08,1.2927153569819438e-08,8.499588588506413e-09,9.939501666167416e-09,9.965122060862086e-09,5.161571614564764e-09,7.33278415765426e-09,8.911698934355172e-09,4.7150412463281555e-09,4.753213822539237e-09,1.327519250082787e-08,1.0921015203280149e-08,9.641585307917921e-09,1.0651616477730386e-08,7.076402130934412e-09,1.5771563610655903e-08
забанить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2424455625724704e-09,0.0,0.0
забастовать,2.525829145838543e-08,2.6331498759191163e-08,3.0951252227851e-08,3.3933776677486094e-08,2.3953385053232523e-08,3.6444838258375967e-08,5.2815146034390636e-08,4.516375184948629e-08,3.055326658341073e-08,2.6735097691243936e-08,3.536280956950577e-08,3.2084194856452086e-08,2.212532201895101e-08,2.5118335855722762e-08,1.0605743838709714e-08,3.0833625430659595e-08,4.688116561624156e-08,4.468609660079892e-08
забастовка,2.6117074867215706e-06,2.812374077620916e-06,2.6887908006756334e-06,2.2582121346204076e-06,2.3860661713115405e-06,2.576815631982754e-06,2.4783257686067373e-06,1.935589352797251e-06,1.7329813317701337e-06,1.7500349258625647e-06,2.00860768018174e-06,1.834740487538511e-06,1.8629521036928054e-06,1.7746649518812774e-06,1.7383778185831034e-06,1.2445573247532593e-06,1.990238160942681e-06,1.5973088238752098e-06
забастовочный,4.8832699661716106e-08,6.200643554166163e-08,5.634715094515741e-08,5.817219062009826e-08,1.5453797175268846e-07,1.9630515168955753e-07,1.8236173104924092e-07,1.0839300301768162e-07,2.0409582646152558e-07,8.800302708777963e-08,9.901586395244522e-08,5.9415171449472837e-08,9.956394819710113e-08,1.2340747446160094e-07,1.1762733720388496e-07,3.1394236543746956e-08,6.987946932213163e-08,4.030510680763655e-08
забастовщик,2.3574406426973837e-08,1.2741048216469153e-08,1.5872437586494925e-08,9.695365399409184e-09,1.6999177177012825e-08,2.650533659220855e-08,6.97558544260346e-09,1.0323143229129528e-08,2.19983533611412e-08,1.4481511101394062e-08,1.1787602893775784e-08,1.1883035000437303e-08,9.956394819710113e-09,8.736812162624119e-09,5.784951184750753e-09,8.969782250289882e-09,1.0614603418446222e-08,7.0095835802419515e-09
забастовщица,1.6838861416346163e-09,0.0,7.936218349158253e-10,0.0,3.863449116181528e-09,0.0,9.965122060862086e-10,1.290392903641191e-09,4.888522919799243e-09,0.0,1.1787603115820389e-09,2.3766069112696186e-09,0.0,0.0,0.0,1.1212227812862352e-09,0.0,8.761979475302439e-10
заболеваемость,1.6190565474971663e-06,2.568595391494455e-06,1.8840582924894989e-06,1.9067551875195932e-06,1.7416429045624682e-06,1.826383368097595e-06,1.8146487263948075e-06,1.438788103769184e-06,1.5386625591418124e-06,1.474886175856227e-06,1.1705089946190128e-06,1.3855618590241647e-06,1.4425709196075331e-06,1.4656002349511255e-06,1.5031231441753334e-06,1.0623585922076018e-06,1.5187728195087402e-06,1.5622609907950391e-06
заболевание,2.6058137336804066e-06,2.9338386866584187e-06,2.93322636935045e-06,2.8213512450747658e-06,2.8264994398341514e-06,2.781403736662469e-06,3.703039283209364e-06,2.881447244362789e-06,3.241090780647937e-06,2.730321739363717e-06,2.4954356376838405e-06,2.5001904759847093e-06,2.4017035684664734e-06,3.2708439903217368e-06,2.676503982002032e-06,5.519779733731411e-06,2.797832394207944e-06,3.0658165997010656e-06
заболевать,3.115189528557494e-08,4.1620758395310986e-08,2.698314283122727e-08,3.474172416417787e-08,4.017987365045883e-08,3.727312858359255e-08,2.98953679589431e-08,3.613100219013177e-08,6.355080017783621e-08,5.792604440557625e-08,5.0686693953139184e-08,4.872044101489337e-08,5.752583476237305e-08,4.477616144527019e-08,4.435129241642244e-08,6.4470306426756e-08,3.803566173132822e-08,5.607666864193561e-08
заболеть,4.942205578117864e-07,5.75895398924331e-07,5.523608024304849e-07,6.487815085165494e-07,7.386914830931346e-07,7.595435249641014e-07,7.234678491840896e-07,7.98753205799585e-07,8.554915211789194e-07,8.310159387292515e-07,8.298472380374733e-07,7.949749942781636e-07,7.400919912470272e-07,7.022212571428099e-07,7.800042567396304e-07,1.1318743418087251e-06,8.332463607985119e-07,8.534167932339187e-07
забормотать,1.6838861416346163e-09,4.247016072156384e-09,7.936218349158253e-10,1.6158941962274298e-09,4.636139028235675e-09,8.282917685065172e-10,3.9860488243448344e-09,3.871178932968178e-09,1.466556831530852e-08,1.1139623667943965e-09,4.7150412463281555e-09,1.1883034556348093e-09,7.743862440179328e-09,4.3684060813120595e-09,0.0,7.848559135936739e-09,5.307301709223111e-09,4.380989793162371e-09
забуксовать,7.57748797042268e-09,9.343435358744046e-09,1.3491571415613635e-08,2.1006623995845075e-08,7.726898232363055e-09,3.313167074026069e-09,1.0961634266948295e-08,3.871178932968178e-09,1.466556831530852e-08,7.797736678583078e-09,1.650264458419315e-08,5.9415175002186515e-09,1.327519250082787e-08,7.644710642296104e-09,5.784951184750753e-09,1.3454673819524032e-08,8.845502996734922e-09,1.5771563610655903e-08
забытье,6.499800520032295e-07,6.013774509483483e-07,6.404528107850638e-07,7.182649710557598e-07,6.815124606873724e-07,7.363514100688917e-07,7.015445930846909e-07,6.955217486392939e-07,8.677127993905742e-07,9.702612260298338e-07,7.96841959527228e-07,6.749563681296422e-07,7.467295972674037e-07,6.498004267996293e-07,6.614127414650284e-07,1.013024757412495e-06,7.049865757835505e-07,6.75548619710753e-07
завал,6.828158234384318e-07,6.871671871522267e-07,5.928355335527158e-07,5.316292117640842e-07,7.441003049279971e-07,5.996832328492019e-07,5.022421305511671e-07,4.7615498033337644e-07,5.487366934175952e-07,5.447275839287613e-07,4.219961908802361e-07,6.036581794433005e-07,4.4693149447994074e-07,3.9206443602779473e-07,3.3938380283871084e-07,6.626426625189197e-07,5.271919576443906e-07,4.1356543079018593e-07
заваливать,6.903933069679624e-08,6.285583964427133e-08,6.03152585654243e-08,8.32185520494022e-08,8.113243410434734e-08,7.951601332933933e-08,8.071749135751816e-08,8.64563247660044e-08,8.554915353897741e-08,9.914265319821425e-08,1.2023355111523415e-07,9.744088202978674e-08,9.40326145837389e-08,1.0484174595148943e-07,7.906099597221328e-08,1.339861199767256e-07,9.199322903441498e-08,9.638177544957216e-08
завалить,2.1216965251369402e-07,2.310376743253073e-07,2.2380135078492458e-07,2.496556419373519e-07,3.1603013894709875e-07,3.288318453087413e-07,3.6472346209848183e-07,2.8646721261793573e-07,3.59306426389594e-07,3.676075834846415e-07,3.9724221778669744e-07,4.2422433921274205e-07,4.0931846001512895e-07,4.466695315841207e-07,3.7891430793024483e-07,7.764467682136456e-07,4.2281502032892604e-07,4.7314688345068134e-07
заведение дела,0.0,0.0,0.0,0.0,0.0,1.5616571369392318e-09,2.8161986076469248e-09,4.859256996780914e-09,0.0,0.0,2.2254185161330042e-09,2.243959906778059e-09,4.179684598426547e-09,1.3403663068345395e-08,1.8203156759710737e-09,7.38467331728998e-09,8.351317970500816e-10,8.267830864383541e-10
завести дело,3.1742140027546384e-09,7.204808749605718e-09,4.482292315088898e-09,1.219299949895003e-08,1.311848141227756e-08,2.498651419102771e-08,1.5019725907450265e-08,2.1866656041424903e-08,3.2284066975307724e-08,1.1531966492839274e-08,1.891605805326435e-08,2.4683558308424836e-08,1.7763658988201314e-08,1.546576555710999e-08,2.093362994060044e-08,1.7934207008352132e-08,2.505395357843554e-08,2.232314244565714e-08
зависимость,9.034217509906739e-05,9.051070810528472e-05,8.741744386497885e-05,8.09425619081594e-05,7.23338162060827e-05,7.188081508502364e-05,7.666666351724416e-05,7.759648724459112e-05,5.339611379895359e-05,4.766756319440901e-05,4.947139314026572e-05,4.485488898353651e-05,3.843279046122916e-05,3.733676567208022e-05,3.463354005361907e-05,2.326985850231722e-05,2.9084896596032195e-05,2.887247501348611e-05
завладение,8.419430486128476e-08,1.1382002895743426e-07,5.793439328272143e-08,8.806623696955285e-08,1.0817657880579645e-07,5.466725738756395e-08,8.868958900620783e-08,1.4452400876052707e-07,1.992073066503508e-07,1.80461910304075e-07,2.6993612323167326e-07,3.160887160902348e-07,2.765665101378545e-07,2.0640719355924375e-07,3.374554751189862e-07,2.0182010018743313e-07,2.5563502958902973e-07,4.2670839661695936e-07
завоеватель,2.9047035354778927e-07,3.338154499488155e-07,3.62685170784971e-07,3.409536759590992e-07,4.1493444769002963e-07,3.810142175098008e-07,4.3148978079443623e-07,4.6196066705306293e-07,4.570768794565083e-07,5.56981206045748e-07,4.6561032718273054e-07,4.931459329782228e-07,4.491440392939694e-07,4.969061819792842e-07,4.174806349510618e-07,5.32580827439233e-07,4.829644240089692e-07,5.388617410062579e-07
завышение,7.661681706849777e-07,8.969698228611378e-07,8.460008871225e-07,8.21682192508888e-07,9.310912787441339e-07,8.274634524241264e-07,7.543597462245089e-07,5.780960350421083e-07,4.986293333786307e-07,3.987985337516875e-07,4.314262866955687e-07,4.3729568233175087e-07,4.7126934532570885e-07,4.248275047302741e-07,4.762943035530043e-07,3.15063601874499e-07,4.0866223116609035e-07,3.9604148582839116e-07
загадить,1.0103317293896907e-08,1.1891645002037876e-08,1.9840545206761817e-08,1.2119206083127665e-08,3.322566399788229e-08,3.0646795323718834e-08,3.487792810119572e-08,4.258296470993628e-08,3.5441789947299185e-08,3.119094671433231e-08,3.7720329970625244e-08,2.8519282935235424e-08,3.097544976071731e-08,2.5118335855722762e-08,2.699643886217018e-08,4.484891036327099e-08,3.626655953326008e-08,1.9276354734643064e-08
