year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
автоугонщик,0.0,8.494032144312769e-10,0.0,0.0,0.0,0.0,9.965122060862086e-10,0.0,0.0,0.0,1.1787603115820389e-09,0.0,0.0,1.0921015203280149e-09,9.641585307917921e-10,6.727336909762016e-09,8.845502663668015e-10,2.6285937870795806e-09
агент иностранной разведки,1.6838861416346163e-09,6.795225715450215e-09,8.729839962029473e-09,1.777483582543482e-08,2.0862625405015933e-08,1.40809603976777e-08,1.1958146473034503e-08,2.580785807282382e-09,7.33278415765426e-09,3.341887211405492e-09,7.072562091536838e-09,1.4259641467617712e-08,7.743862440179328e-09,1.0921015203280149e-08,8.67742677712613e-09,1.2894061818258251e-08,1.6806454894435774e-08,1.4019167160483903e-08
административное воздействие,1.3490409678240667e-08,1.8412288582680958e-08,2.0170315195855437e-08,1.6003312452994578e-08,4.0084248809080236e-08,2.576734203785236e-08,4.3181710651651883e-08,1.700739993282241e-08,1.6142033487653862e-08,1.2580327890532317e-08,1.557793005702024e-08,3.926929892372755e-08,1.8808581359053278e-08,2.0621019558575426e-08,2.6394577190558266e-08,1.3186916447693875e-08,1.419724071638484e-08,2.811062493890404e-08
административное давление,3.967767447932147e-09,1.601068611023493e-08,1.9423266550688822e-08,2.286187417155361e-08,4.882990367605089e-08,4.060308711473226e-08,4.7875374775685486e-08,3.522961478097386e-08,3.113106217256245e-08,9.435245473810028e-09,4.1170242326415973e-08,3.814731996953924e-08,4.075192450159193e-08,3.402468351509924e-08,3.094536538128523e-08,4.061570280100568e-08,5.511869716201545e-08,4.878020121168447e-08
административные меры,1.7061400114926073e-07,2.2254853604408709e-07,2.3830853024264798e-07,2.8653548156398756e-07,3.5492780625645537e-07,3.107697637005913e-07,3.154142405037419e-07,2.453924707879196e-07,2.121524289577792e-07,2.5160653649436426e-07,2.548104305333254e-07,3.0630053515778854e-07,2.9466775686159963e-07,2.8250798322915216e-07,3.212857109247125e-07,2.6162842914345674e-07,2.7392323431740806e-07,2.513420440664049e-07
административный барьер,1.5871070013773192e-09,8.005343055117464e-10,4.482292315088898e-09,4.572374923128564e-09,0.0,0.0,1.877465738431283e-09,2.429628498390457e-09,0.0,0.0,0.0,0.0,2.0898422992132737e-09,3.093153067013077e-09,1.8203156759710737e-09,4.747290116569047e-09,3.3405271882003262e-09,8.267830864383541e-10
ажиотажный,5.051658646948454e-09,4.247016072156384e-09,3.968109396623731e-09,8.079471314204056e-09,5.331559904675487e-08,1.6483005538248108e-07,2.680617967598664e-07,2.2839954283426778e-07,1.234351998391503e-07,9.357283659028326e-08,8.487074154572838e-08,8.080463231863177e-08,5.752583476237305e-08,1.2340747446160094e-07,1.446237831714825e-07,6.895520243688225e-08,8.491682734756978e-08,9.024839187077305e-08
алкоголизация,2.7784121670038076e-08,3.312672447464138e-08,5.634715094515741e-08,6.867550439437764e-08,6.876939551148098e-08,5.96370099970045e-08,7.473841634464407e-08,1.122641819506498e-07,6.843931998901098e-08,5.458415586190313e-08,7.544065994125049e-08,5.3473655725611025e-08,7.633236265291998e-08,1.1030225266495108e-07,8.098931658651054e-08,7.792498024628003e-08,7.960952075336536e-08,1.3668687870449503e-07
алкоголизм,7.08074139765813e-07,9.929523230312043e-07,9.912337191053666e-07,1.1464769613667158e-06,1.0694027423596708e-06,9.119492574427568e-07,8.709516805538442e-07,7.25200834494899e-07,7.222792532957101e-07,7.808876034687273e-07,8.003782454579778e-07,8.401305535699066e-07,8.031491915971856e-07,8.638522785986424e-07,9.815133807933307e-07,1.1313137520119199e-06,1.0190019565925468e-06,1.1662194765449385e-06
алкоголик,2.854187073353387e-07,3.431588879720948e-07,3.745895185147674e-07,4.144768581682001e-07,4.7056812491064193e-07,4.3816635297844186e-07,5.361235935197328e-07,5.264802780402533e-07,5.328490146894183e-07,5.948559191892855e-07,5.398722464633465e-07,6.404955570360471e-07,6.836724537606642e-07,6.356031008181162e-07,5.727101779484656e-07,9.709789310363703e-07,6.50144443170575e-07,7.456444564013509e-07
алкоголический,8.419430708173081e-10,8.494032144312769e-10,7.936218349158253e-10,0.0,7.726898565429963e-10,2.484875416541854e-09,1.9930244121724172e-09,0.0,6.110653760771356e-09,5.56981172294968e-09,1.1787603115820389e-09,1.0694731322757889e-08,2.21253215748618e-09,8.736812162624119e-09,2.8924755923753764e-09,3.9242795679683695e-09,6.191851920078761e-09,2.6285937870795806e-09
алкогольная зависимость,7.935535006886596e-10,3.2021372220469857e-09,3.7352436699222835e-09,6.858562162648241e-09,8.01684940654468e-09,7.808285684696159e-10,1.877465738431283e-09,2.429628498390457e-09,3.459007080763854e-09,1.677376992859081e-08,8.901674064532017e-09,5.609899655922845e-09,9.404290679526639e-09,1.0310509779287713e-08,1.7292999032747502e-08,2.0571590653162275e-08,2.0878294648696283e-08,2.066957804913727e-08
аллерген,7.493293452398575e-08,1.0022957752653383e-07,6.428336973840487e-08,1.074569624393007e-07,5.949711834318805e-08,6.626333970416454e-08,9.965121705590718e-08,3.87117857769681e-08,7.210571340010574e-08,2.0051322380254533e-08,2.0038925185872358e-08,1.3071337789938298e-08,1.9912789639420225e-08,3.2763047386197286e-08,5.784951184750753e-08,7.848559135936739e-08,3.892021283036229e-08,4.468609660079892e-08
аллергенный,1.6838861416346163e-09,3.3976128577251075e-09,1.5872436698316505e-09,8.079470981137149e-10,3.090759426171985e-09,2.484875416541854e-09,9.965122060862086e-10,0.0,1.2221307299498108e-09,2.227924733588793e-09,1.1787603115820389e-09,0.0,0.0,0.0,4.820792653958961e-09,1.681834227440504e-09,7.076402130934412e-09,1.7523958950604879e-09
аллергический,1.5407557896196522e-07,1.5119377394512412e-07,1.420583117806018e-07,1.1472848626681298e-07,8.422319552892077e-08,1.3998131009884673e-07,1.4648729518285108e-07,4.387336005606812e-08,5.621801335564669e-08,4.344453330418219e-08,4.3614132749780765e-08,4.753214000174921e-08,3.2081715062304283e-08,4.3684060813120595e-08,5.5921194785923944e-08,1.5921364138193894e-07,4.599661451720749e-08,8.14864122844483e-08
аллергия,3.0815115792393044e-07,3.5505053119777585e-07,2.9443370408444025e-07,4.1851660625980003e-07,3.260751100242487e-07,4.696414350746636e-07,7.025411150607397e-07,3.626004172474495e-07,4.069695194175438e-07,3.364166332175955e-07,4.1374485704182007e-07,4.2184771587017167e-07,3.9051192857186834e-07,4.018933736915642e-07,4.0301827652911015e-07,9.194026802106237e-07,5.59035754577053e-07,6.808057833040948e-07
альцгеймер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.606113906431176e-10,0.0,0.0
ампутационный,8.419430708173081e-10,1.6988064288625537e-09,2.380865504747476e-09,4.039735657102028e-09,3.863449116181528e-09,2.484875416541854e-09,3.9860488243448344e-09,1.290392903641191e-09,0.0,2.3393209147570815e-08,4.243537077286419e-08,7.129820733808856e-09,3.3187981252069676e-09,3.2763045609840447e-09,2.8924755923753764e-09,7.287948022849378e-09,4.422751498367461e-09,2.6285937870795806e-09
ампутация,1.7344027014587482e-07,1.656336223732069e-07,2.3649930369629146e-07,1.5350994431173604e-07,1.2517575953552296e-07,1.8470906582024327e-07,1.813652232840468e-07,1.548471431078724e-07,1.5643273343357578e-07,1.1139623978806412e-07,1.497025579055844e-07,1.5566774891340174e-07,9.071381867897799e-08,1.518021122137725e-07,1.3112556018768373e-07,1.9733521128273424e-07,1.4329714304039953e-07,1.2967728935109335e-07
ампутированный,3.3677722832692325e-09,5.096419286587661e-09,4.761731009494952e-09,4.039735657102028e-09,6.18151885234397e-09,4.969750833083708e-09,7.972097648689669e-09,7.742357865936356e-09,1.5887700044459052e-08,8.911698934355172e-09,9.430082492656311e-09,3.564910366904428e-09,4.42506431497236e-09,7.644710642296104e-09,1.9283170615835843e-09,8.40917113720252e-09,4.422751498367461e-09,4.380989793162371e-09
ампутировать,1.5912723938527051e-07,1.2401287108332326e-07,1.1586878656544286e-07,1.066490185053226e-07,1.3753879102296196e-07,1.3335497328625934e-07,1.4848032492409402e-07,1.0065064515174527e-07,1.0143685358343646e-07,1.23649826377914e-07,2.1099809544011805e-07,1.5566774891340174e-07,1.3828325506892725e-07,1.3760478623225936e-07,1.3883882843401807e-07,2.1359294066769507e-07,1.8221734876533446e-07,1.5946802989219577e-07
анархизм,3.283577996171516e-07,3.261708343416103e-07,6.174377631396055e-07,4.807285449714982e-07,6.506048748633475e-07,7.96816664205835e-07,8.171400054379774e-07,8.606920687270758e-07,6.746161602677603e-07,8.198762770916801e-07,8.487074296681385e-07,8.603316814514983e-07,8.750564575166209e-07,9.392073252456612e-07,8.571369107812643e-07,6.536728847095219e-07,6.713736411256832e-07,6.492626880572061e-07
анархист,2.6016041942966694e-07,2.777548502308491e-07,4.4204736582287296e-07,3.1348346851700626e-07,4.906580670649419e-07,6.319866088233539e-07,6.696561740682228e-07,6.039038566996169e-07,5.035178674006602e-07,6.249329089769162e-07,5.375147225095134e-07,8.936041808738082e-07,6.195090236360556e-07,6.214057748366031e-07,5.977782961963385e-07,5.617326337414852e-07,5.298456358104886e-07,4.880422466158052e-07
